iter	Logloss
0	0.6515910561
1	0.6173062297
2	0.5953180052
3	0.5845045939
4	0.5777469189
5	0.5665411962
6	0.5620096201
7	0.557389397
8	0.5504937474
9	0.5340262351
10	0.5271014624
11	0.5198379776
12	0.5155332029
13	0.5099501583
14	0.5086474035
15	0.5058393209
16	0.5042767822
17	0.5001645112
18	0.4969186604
19	0.4929214485
20	0.4917403363
21	0.4899420062
22	0.4888347351
23	0.4826476963
24	0.4803829628
25	0.4771221771
26	0.4743972286
27	0.469676333
28	0.4665283506
29	0.4527365645
30	0.4503160133
31	0.4475849797
32	0.4428301816
33	0.4294969618
34	0.4238459418
35	0.3979174126
36	0.3757559068
37	0.3662572483
38	0.3548390435
39	0.3377441837
40	0.3265054882
41	0.3169307214
42	0.3043741252
43	0.3002143475
44	0.2906225629
45	0.2867421284
46	0.282669137
47	0.2761280442
48	0.2705096874
49	0.2623269421
50	0.2610901699
51	0.2575560533
52	0.2548616412
53	0.25184266
54	0.2465145065
55	0.2431428581
56	0.2368701646
57	0.2341569805
58	0.2307892553
59	0.2261719803
60	0.2241127438
61	0.2213498151
62	0.2179759373
63	0.2128660871
64	0.2105410417
65	0.2068669713
66	0.2045771236
67	0.2006175493
68	0.1995560235
69	0.1967875438
70	0.1937462699
71	0.1923227183
72	0.1914496041
73	0.1913870066
74	0.1901771358
75	0.1886825706
76	0.1885873613
77	0.1885526988
78	0.186509375
79	0.1859182092
80	0.1848674961
81	0.1840976821
82	0.1840345817
83	0.183904393
84	0.1820323872
85	0.1807988057
86	0.1778281789
87	0.1777616962
88	0.1755019457
89	0.1735607645
90	0.171451974
91	0.1686936863
92	0.1665404566
93	0.1657769952
94	0.1642100429
95	0.1629989626
96	0.1611479163
97	0.1577611358
98	0.1550093784
99	0.1506467339
100	0.1478232134
101	0.1466278981
102	0.1457351111
103	0.1434295419
104	0.1433494377
105	0.1404740403
106	0.1399506974
107	0.1382853356
108	0.1372170933
109	0.1354887476
110	0.1332468302
111	0.132583731
112	0.1325563499
113	0.1300169662
114	0.1275679936
115	0.1253616146
116	0.1241697785
117	0.1231913769
118	0.1224881568
119	0.1203941037
120	0.119872139
121	0.1185454571
122	0.117175602
123	0.1170250483
124	0.1156896195
125	0.1156572325
126	0.1137565346
127	0.1127373972
128	0.1117263042
129	0.110214624
130	0.109690766
131	0.1083666359
132	0.107481649
133	0.1068159115
134	0.1067942895
135	0.1044243052
136	0.1039132607
137	0.1039036414
138	0.1038921855
139	0.102918262
140	0.1028939768
141	0.1028650403
142	0.1021752089
143	0.1001358563
144	0.0990231603
145	0.09821309846
146	0.09820463844
147	0.09583965465
148	0.09502801586
149	0.09435554222
150	0.09434302568
151	0.0943430046
152	0.09349795183
153	0.09308142449
154	0.091819127
155	0.09144053192
156	0.09140920438
157	0.09139211307
158	0.09017782959
159	0.08879320126
160	0.0887855444
161	0.08876806943
162	0.08640054284
163	0.0846713414
164	0.08426866425
165	0.0829709748
166	0.08243476616
167	0.08181531911
168	0.08154491291
169	0.0811315062
170	0.08050188445
171	0.07934026134
172	0.07850146098
173	0.07785811085
174	0.07673485778
175	0.07619888875
176	0.07509072505
177	0.07455791639
178	0.07398026748
179	0.07313820691
180	0.07313788827
181	0.07184206223
182	0.07129070259
183	0.0712723223
184	0.07126006428
185	0.07097208463
186	0.0707736798
187	0.07056355192
188	0.06953469732
189	0.06843094804
190	0.06812011715
191	0.06783159901
192	0.06758456805
193	0.06737196074
194	0.06681215836
195	0.06664653525
196	0.06616930905
197	0.06616926888
198	0.06616161898
199	0.06592082254
200	0.06560242725
201	0.06560241694
202	0.06515011472
203	0.06513801891
204	0.065137973
